date,time,people
2020-02-23,18,18674
2020-02-23,19,15381
2020-02-23,20,14104
2020-02-23,21,13961
2020-02-23,22,10703
2020-02-23,23,5118
2020-02-24,0,1021
2020-02-24,1,23
2020-02-24,5,1
2020-02-24,6,4117
2020-02-24,7,11119
2020-02-24,8,22973
2020-02-24,9,13638
2020-02-24,10,10566
2020-02-24,11,10574
2020-02-24,12,12202
2020-02-24,13,12729
2020-02-24,14,11881
2020-02-24,15,11812
2020-02-24,16,12701
2020-02-24,17,19799
2020-02-24,18,26388
2020-02-24,19,17215
2020-02-24,20,11676
2020-02-24,21,10661
2020-02-24,22,10980
2020-02-24,23,3003
2020-02-25,0,996
2020-02-25,1,18
2020-02-25,5,0
2020-02-25,6,3807
2020-02-25,7,11590
2020-02-25,8,21677
2020-02-25,9,12949
2020-02-25,10,9581
2020-02-25,11,9303
2020-02-25,12,10831
2020-02-25,13,11021
2020-02-25,14,10111
2020-02-25,15,10204
2020-02-25,16,12837
2020-02-25,17,20025
2020-02-25,18,26229
2020-02-25,19,16821
2020-02-25,20,11422
